,word,story,story_pos,lstm_surp,leaf_surp
1,opened,1,538,14.8194103240967,0.912802040576935
2,with_.,10,736,13.0019960403442,2.79106623027474
3,her,3,60,15.2691478729248,3.44031643867493
4,with,1,769,12.0842142105103,2.86805582046509
5,hovel,3,177,14.3024425506592,3.53924465179443
6,hurtful_.,7,327,15.490269780159,3.93490210548043
7,wearisome,4,847,14.5603609085083,3.70440888404846
8,lilac,9,232,14.3466968536377,3.68243837356567
9,coot,5,968,13.9082746505737,3.57263278961182
10,moody,3,375,12.4875688552856,3.28197550773621
11,hyperactivity,10,593,14.708550453186,3.86683893203735
12,suddenly,6,847,14.1491508483887,3.7199547290802
13,impulsivity_.,10,595,15.0001886487007,3.9468743186444
14,wavy,5,128,15.4239654541016,4.16528558731079
15,savior,1,985,14.1434059143066,3.8245005607605
16,huntsman,1,937,14.2211799621582,3.97018933296204
17,turned,6,181,15.0178356170654,4.20731639862061
18,squirrel,3,636,12.7333784103394,3.59109783172607
19,puddle_.,2,744,12.4891270399094,3.58603826723993
20,outwit,4,462,15.3820056915283,4.45021343231201
21,swash,2,960,15.3568515777588,4.44821739196777
22,patchy,3,424,14.6316757202148,4.27496147155762
23,huntsman,1,665,14.5015411376953,4.2750301361084
24,superlative,5,59,15.1217308044434,4.48655319213867
25,geese,2,699,12.9954605102539,3.8742401599884
26,botanist,9,112,15.3972673416138,4.60490036010742
27,insensitive,6,720,15.3279628753662,4.63740301132202
28,huntsman,1,967,15.0032987594604,4.54579019546509
29,squirrel,3,615,14.0962896347046,4.2877025604248
30,huntsman,1,502,13.7175369262695,4.17341423034668
31,misdiagnose,10,673,15.3563575744629,4.68585205078125
32,huntsmen,1,947,14.3888988494873,4.40587615966797
33,fearsome,1,158,13.8391647338867,4.23980617523193
34,dizzy_.,2,334,14.2421697378159,4.38173140399158
35,orphanage,5,266,13.9277982711792,4.33916521072388
36,plausibility,8,692,14.6781148910522,4.57979011535645
37,bluebird_,,4,103,14.3003502488136,4.47346902638674
38,lark_,,4,107,14.4663680195808,4.54684600234032
39,chicanery,1,1023,14.7875995635986,4.71288967132568
40,brook,2,837,13.599289894104,4.34058380126953
41,huntsman,1,1007,14.1155500411987,4.52450704574585
42,using,6,328,13.8335819244385,4.44498729705811
43,huntsman,1,993,14.3853349685669,4.62454652786255
44,barbershop_,,5,430,14.2968453764915,4.62874740362167
45,brook,2,685,14.0753002166748,4.56349992752075
46,huntsman,1,980,14.366135597229,4.68212461471558
47,brook_,,2,551,15.5432046055794,5.0770902633667
48,prefix,9,321,13.8814296722412,4.54229307174683
49,about,9,1007,13.6419906616211,4.48511457443237
50,brook,2,858,13.6735496520996,4.50241422653198
51,lo,3,580,13.491003036499,4.44922780990601
52,dank,3,589,14.8914518356323,4.99801731109619
53,symptomology,10,913,15.8822612762451,5.3600606918335
54,huntsman,1,825,14.3952522277832,4.91480684280396
55,orphanage,5,73,14.9542999267578,5.12511968612671
56,bade,4,809,14.0506715774536,4.85331296920776
57,noblewoman_.,10,33,14.9643872976303,5.17498512181919
58,gelid,3,31,14.5688552856445,5.03914642333984
59,went,6,478,13.7053022384644,4.79963874816895
60,faraway,4,58,15.0013284683228,5.2917914390564
61,disabling,10,386,14.3677501678467,5.08380746841431
62,fearsome,1,1071,12.9040021896362,4.59494018554688
63,named,8,82,12.6978549957275,4.53108787536621
64,have,6,506,13.3744411468506,4.82424688339233
65,vapor,2,228,12.7616004943848,4.60578346252441
66,disabling,10,157,14.5583972930908,5.25905227661133
67,huntsman,1,452,13.7201147079468,4.96340370178223
68,orphanage,5,389,15.0357980728149,5.52116012573242
69,desperately_.,5,670,14.1992784738541,5.22430472075939
70,huntsman,1,794,14.67591381073,5.4056978225708
71,huntsman,1,1029,14.6410760879517,5.4056978225708
72,unembellished,5,429,15.4559965133667,5.78279113769531
73,tics,10,328,15.1797485351562,5.71632766723633
74,bide,1,427,12.0827236175537,4.55039119720459
75,huntsman,1,610,14.8733921051025,5.60968971252441
76,huntsman,1,602,13.7865142822266,5.20509052276611
77,vapor,2,268,14.2853469848633,5.43779182434082
78,soon,1,365,12.7434997558594,4.85109567642212
79,pouch,1,902,12.2909536361694,4.67978763580322
80,slowly,5,448,12.5966196060181,4.85198497772217
81,orphanage,5,147,14.8071117401123,5.76137256622314
82,inadmissible,8,555,14.4329738616943,5.63707828521729
83,doing,7,607,14.226167678833,5.57954120635986
84,as,5,966,12.1645317077637,4.80724048614502
85,anthropomorphic,8,831,14.6214799880981,5.83095741271973
86,tic,10,561,13.8717632293701,5.5441427230835
87,neurological,10,4,14.0972185134888,5.69055700302124
88,ferocity,1,241,12.5954265594482,5.10272598266602
89,squirrel,3,653,14.2748651504517,5.81507587432861
90,coprolalia_,,10,406,15.8032682538033,6.46171975135803
91,echolalia_,,10,413,15.3262405395508,6.30323910713196
92,told,6,236,13.8864965438843,5.76831769943237
93,peacefully_.,2,702,15.9264688491821,6.61708623915911
94,savory,3,302,13.0297050476074,5.45333862304688
95,tics,10,376,14.6827793121338,6.15801334381104
96,it_,_',7,253,15.620526432991,6.57668057829142
97,huntsman,1,456,14.628812789917,6.17201566696167
98,huntsman,1,399,14.628002166748,6.17201566696167
99,mockery,4,1077,15.6245622634888,6.60294723510742
100,'_I,7,239,12.4799437522888,5.30371499061584
101,between,10,53,13.09947681427,5.60465812683105
102,followed_.,9,200,12.9814758300781,5.55457364395261
103,'_I,4,734,13.6478915214539,5.85890030860901
104,tic,10,209,14.4867172241211,6.29325389862061
105,avail_.,4,745,12.7334387302399,5.53694692254066
106,Mr.,6,963,12.0178623199463,5.28483915328979
107,whoever,1,296,12.5810108184814,5.57445526123047
108,quick-witted,1,516,14.4314937591553,6.44243240356445
109,run,7,375,14.0608596801758,6.28388214111328
110,hyacinth_,,9,962,13.1206994652748,5.86694624647498
111,extraordinarily,9,23,14.1889228820801,6.40994691848755
112,Buster,5,820,15.3887901306152,6.99195718765259
113,tomography_,,10,714,14.6596197783947,6.66523969173431
114,fact_.,8,450,12.7834734916687,5.81805151514709
115,underbrush_.,3,627,15.093338906765,6.97593234200031
116,tank_.,6,13,13.8740643262863,6.42312403582036
117,too_.,4,144,12.3744888305664,5.73582687834278
118,whoever,7,301,12.1317682266235,5.63047695159912
119,l'Ecluse,9,115,13.5315103530884,6.28241539001465
120,adulthood,10,688,14.8189392089844,6.90131187438965
121,birches,3,608,14.261399269104,6.67748069763184
122,Buster,5,175,14.4131650924683,6.76753044128418
123,trade_.,9,573,12.1544487476349,5.76634899200872
124,House_,,1,509,14.0783977508545,6.70144498348236
125,rapidly,9,185,13.9391822814941,6.67062950134277
126,looked,6,429,14.1381893157959,6.78977823257446
127,traders,9,618,13.4613561630249,6.46530628204346
128,shut_,,4,919,13.0432887077332,6.40560709964484
129,area_,,10,493,12.9636919498444,6.39492090046406
130,up_,_',6,574,13.8716533184052,6.84918922185898
131,most,1,200,12.48415184021,6.23098659515381
132,careful_,,6,649,12.1966977119446,6.09200623631477
133,rose,4,429,12.3692188262939,6.19618606567383
134,hair_,,5,129,12.1448800563812,6.12528723478317
135,manage,10,524,12.6093692779541,6.4105863571167
136,botanical,9,129,12.2130908966064,6.21787071228027
137,settled,7,774,12.6124277114868,6.42806005477905
138,strove,4,685,13.5247106552124,6.89439582824707
139,meant,8,777,13.5570602416992,6.96578359603882
140,desperate_,,9,767,13.2186489105225,6.83516049385071
141,flew,4,320,13.2889499664307,6.88269329071045
142,arguing,9,908,12.1931552886963,6.31515312194824
143,saying_,,1,889,12.6527880430222,6.57806102186441
144,night,4,815,12.6622104644775,6.63433933258057
145,cost_,,9,997,12.0987572669983,6.36405865848064
146,multicolored,9,221,13.0187149047852,6.91092014312744
147,field_'s,8,159,12.2957754135132,6.58829854428768
148,accounts_,,8,622,12.9462745189667,6.95712834969163
149,red,9,223,12.7864761352539,6.9112606048584
150,once_,,1,153,12.4675145149231,6.76800568401814
151,thereafter,1,1051,12.0519599914551,6.54673957824707
152,papers_,,6,546,12.5210611820221,6.90796713531017
153,lower_,,2,383,12.0237739086151,6.66470685601234
154,shoes_.,5,822,12.5913746953011,6.98375252634287
155,badly,1,814,12.0412406921387,6.70490264892578
156,call,4,1078,12.3747091293335,6.95517730712891
